"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M12.QPAPLWI.BIZ<00>"
"2","0.000088000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB V1.YHJTPYF.RU<00>"
"3","0.001224000","fe80::239a:1288:a4bb:33df","ff02::1:ffbb:33df","ICMPv6","86","Multicast Listener Report"
"4","0.001404000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"5","0.008935000","10.10.11.208","239.255.255.250","SSDP","548","NOTIFY * HTTP/1.1 "
"6","0.008949000","fe80::8b0:f4bc:6ee3:e0fb","ff02::c","SSDP","576","NOTIFY * HTTP/1.1 "
"7","0.008999000","fe80::e5f2:4a90:c778:f0fa","ff02::1:ff78:f0fa","ICMPv6","86","Multicast Listener Report"
"8","0.011237000","10.10.13.156","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"9","0.011291000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"10","0.015644000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M14.OBYHOGH.BIZ<00>"
"11","0.015723000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M36.BQPTHDH.CC<00>"
"12","0.018162000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"13","0.024140000","fe80::d0e9:b579:b461:ed56","ff02::1:ff61:ed56","ICMPv6","86","Multicast Listener Report"
"14","0.026679000","fe80::c52e:f46f:d4b0:88ec","ff02::1:ffb0:88ec","ICMPv6","86","Multicast Listener Report"
"15","0.028483000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"16","0.031494000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M30.HIHRFXY.COM<00>"
"17","0.031708000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M28.AYKXBCD.COM<00>"
"18","0.034692000","fe80::b9c0:1f04:4031:8107","ff02::1:3","LLMNR","92","Standard query 0x1dba  AAAA principal-pc"
"19","0.034868000","10.10.11.120","224.0.0.252","LLMNR","72","Standard query 0x1dba  AAAA principal-pc"
"20","0.035966000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"21","0.044036000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"22","0.045190000","fe80::2cc3:1685:bbf8:39ca","ff02::1:3","LLMNR","88","Standard query 0x199e  ANY edlab-15"
"23","0.045223000","10.10.10.93","224.0.0.252","LLMNR","68","Standard query 0x199e  ANY edlab-15"
"24","0.051243000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"25","0.051264000","fe80::a2ab:1bff:fee0:fa29","ff02::1","ICMPv6","78","Router Advertisement from a0:ab:1b:e0:fa:29"
"26","0.057912000","fe80::fd17:fd12:224f:aff2","ff02::1:ff4f:aff2","ICMPv6","86","Multicast Listener Report"
"27","0.059389000","fe80::f68e:38ff:fe87:7387","ff02::1:ff87:7387","ICMPv6","86","Multicast Listener Report"
"28","0.062599000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"29","0.062818000","fe80::ec3b:be3b:a1cf:b8dc","ff02::1:ffcf:b8dc","ICMPv6","86","Multicast Listener Report"
"30","0.066385000","fe80::f68e:38ff:fe87:6e52","ff02::1:ff87:6e52","ICMPv6","86","Multicast Listener Report"
"31","0.068172000","10.10.15.206","10.10.15.255","BROWSER","240","Browser Election Request"
"32","0.069442000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"33","0.072861000","10.10.14.118","239.255.255.250","SSDP","491","NOTIFY * HTTP/1.1 "
"34","0.072871000","fe80::40f9:cd1d:1ca0:f1d7","ff02::c","SSDP","520","NOTIFY * HTTP/1.1 "
"35","0.076331000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"36","0.078213000","fe80::f68e:38ff:fe87:ac15","ff02::1:ff87:ac15","ICMPv6","86","Multicast Listener Report"
"37","0.079851000","Dell_fd:dc:84","Broadcast","ARP","60","Who has 10.10.10.123?  Tell 10.10.11.233"
"38","0.083180000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"39","0.090909000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"40","0.093821000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M31.HWIIEOD.COM<00>"
"41","0.093851000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M17.JIMALAE.COM<00>"
"42","0.098618000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"43","0.106327000","10.10.19.140","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"44","0.107913000","fe80::d8a8:ca08:777b:a414","ff02::13a","ICMPv6","86","Multicast Listener Report"
"45","0.109380000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M29.WDCRODK.COM<00>"
