"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"2","0.004667000","10.10.12.223","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"3","0.008009000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"4","0.009775000","Giga-Byt_3f:15:ae","Broadcast","ARP","60","Who has 10.10.11.20?  Tell 10.10.12.219"
"5","0.016045000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"6","0.017040000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M29.QHLOURY.COM<00>"
"7","0.028822000","10.10.10.179","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"8","0.037956000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"9","0.045320000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"10","0.047179000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M9.XTHAIMS.NET<00>"
"11","0.052708000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"12","0.060424000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"13","0.063746000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M41.BQPTHDH.CC<00>"
"14","0.068109000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"15","0.073666000","fe80::7a45:c4ff:fe29:fca","ff02::1:ff29:fca","ICMPv6","86","Multicast Listener Report"
"16","0.075472000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"17","0.078435000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M2.CCEOGNR.COM<00>"
"18","0.082821000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"19","0.090185000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"20","0.094045000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M42.RBHRZMR.IN<00>"
"21","0.103962000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M7.RNRTIZY.COM<00>"
"22","0.114689000","Cisco_ea:86:08","Spanning-tree-(for-bridges)_00","STP","60","Conf. TC + Root = 0/0/00:07:4f:12:34:c0  Cost = 29  Port = 0x8008"
"23","0.115205000","fe80::7a45:c4ff:fe29:12ba","ff02::1:ff29:12ba","ICMPv6","86","Multicast Listener Report"
"24","0.116339000","fe80::9b5:ff6:dcb:2b5e","ff02::1:ffcb:2b5e","ICMPv6","86","Multicast Listener Report"
"25","0.125339000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M36.ANDHTTZ.COM<00>"
"26","0.127816000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"27","0.131010000","10.10.12.52","10.10.15.255","NBNS","92","Name query NB M6.CDYXWYA.COM<00>"
"28","0.136086000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"29","0.139569000","64:cc:2e:18:b3:73","Broadcast","ARP","60","Who has 10.10.14.34?  Tell 10.10.11.65"
"30","0.144373000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"31","0.152880000","192.168.0.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"32","0.161385000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
"33","0.165433000","10.10.13.27","224.0.0.251","MDNS","86","Standard query 0x6b25  PTR 192.168.1.139.in-addr.arpa, ""QM"" question"
"34","0.166461000","fe80::a80b:e8a0:2dac:6cd1","ff02::1:3","ICMPv6","86","Multicast Listener Report"
"35","0.170225000","192.168.1.1","224.0.0.252","IGMPv2","64","Membership Query, specific for group 224.0.0.252"
